,url,title,abstract,date
0,http://www.hurriyet.com.tr/gundem/son-dakika-reinadaki-saldirida-teroristin-nasil-kactigi-belli-oldu-40323311,Son dakika: Reina'daki saldırıda teröristin nasıl kaçtığı belli oldu,"İstanbul Ortaköy'deki ünlü eğlence mekanı Reina'ya uzun namlulu silahla ateş açarak içeri giren terörist yeni yılı kutlayanları taradı. Alçak saldırıda 39 kişi hayatını kaybetti, 4'ü ağır 65 kişi yaralandı. Yaklaşık 7 dakika sürdüğü belirtilen saldırının ardından üstünü değiştiren terörist kaçtı. Güvenlik güçleri teröristin yakalanması için geniş çaplı operasyon yürütüyor. Başbakan Binali Yıldırım'ın verdiği bilgiye göre terörist saldırı sonrası silahını bırakıp kargaşadan yararlanarak olay yerinden kaçmış. ",31.12.2016
1,http://www.hurriyet.com.tr/gundem/son-dakika-reinada-silahli-saldiri-40323300,Ortaköy'de gece kulübüne silahlı saldırı,Ortaköy'de ünlü gece kulübüne saat 01.15 sıralarında terör saldırısı gerçekleşti. Uzun namlulu silahla kapı önündekilere ateş açan saldırgan 1 polis ile 1 vatandaşı şehit ettikten sonra içeriye girdi. İçeride yeni yıl kutlaması için bulananların üzerine kurşun yağdıran saldırgan en an 35 kişiyi şehit etti. Saldırıda 40 kişi de yaralandı.,31.12.2016
2,http://www.hurriyet.com.tr/gundem/2017-mesaji-yeni-istiklal-harbi-40323247,2017 mesajı: Yeni İstiklal harbi ,"Cumhurbaşkanı Tayyip Erdoğan, yeni yıl mesajında “Sınırlarımız PYD, YPG, DEAŞ dahil, tüm terör örgütlerinden temizlenmektedir. İçinden geçtiğimiz dönemin adını doğru koymak gerekiyor. Türkiye son yıllarda yeni bir istiklal harbi vermektedir. 2017’de, hem terör örgütlerinin başını ezeceğiz, hem de çok daha büyük ekonomik başarılara imza atacağız” dedi. Erdoğan, mesajında özetle şunları vurguladı:",31.12.2016
3,http://www.hurriyet.com.tr/gundem/bu-gozyaslari-icin-4-yil-hapis-istendi-40323207,Bu gözyaşları için 4 yıl hapis istendi,MANİSA'nın Turgutlu ilçesinde 7 Aralık’ta parkta spor yapan 4 aylık hamile Ebru Tireli'ye (32) saldırıyla ilgili iddianamesi hazırlandı. ,31.12.2016
4,http://www.hurriyet.com.tr/gundem/yalniz-kurtlarin-pesinde-kamyonlar-ve-kalabaliklar-40323198,Yalnız kurtların peşinde kamyonlar ve kalabalıklar,"Fırat Kalkanı Operasyonu’nun ilk günlerinde, IŞİD’in elindeki hem stratejik hem de örgüt açısından manevi öneme sahip Dabık şehrinin düşmesinden hemen önce, IŞİD, bu şehrin ismini verdiği derginin yanına bir yenisini ekledi: ‘Rumiyah’ yani Roma.",31.12.2016
5,http://www.hurriyet.com.tr/gundem/devlet-bahceli-2017-turkiyenin-toparlanma-yili-olmali-40322991,"Devlet Bahçeli: 2017, Türkiye’nin toparlanma yılı olmalı","MHP Genel Başkanı Devlet Bahçeli, yeni yıl nedeniyle bir kutlama mesajı yayınladı. Bahçeli mesajında, ""2017, Türkiye’nin toparlanma, silkinip ayağa kalkma yılı olmalıdır. Elbette niyazım öncelikle budur. Dağılmamızı planlayanlara, bölünmemizi arzulayanlara, parçalanmamızı amaçlayanlara karşı tavizsiz bir şekilde ortak cephe alıp, milli hak ve çıkarlarımızı korkusuzca savunacağımızı herkes iyi bilmelidir"" ifadelerine yer verdi.",31.12.2016
6,http://www.hurriyet.com.tr/gundem/cumhurbaskani-erdogandan-2017-mesaji-teror-orgutlerinin-basini-ezecegiz-40322798,Cumhurbaşkanı Erdoğan'dan 2017 mesajı: Terör örgütlerinin başını ezeceğiz,"Cumhurbaşkanı Erdoğan ""İnşallah 2017'de hem terör örgütlerinin başını ezeceğiz hem de çok daha büyük ekonomik başarılara imza atacağız"" dedi.",31.12.2016
7,http://www.hurriyet.com.tr/gundem/hamile-kadina-atilan-tekmede-flas-gelisme-18-5-yil-hapis-istendi-40322753,Hamile kadına atılan tekmede flaş gelişme... 18.5 yıl hapis istendi,"Manisa’nın Turgutlu İlçesi’nde parkta spor yapan 4 aylık hamile 32 yaşındaki Ebru Tireli’ye yönelik saldırıyla ilgili araştırmasını tamamlayan savcı, iddianamesini hazırladı. Saldırgan Davut K. hakkında ’Hamile kadına yönelik kasten yaralama ve hakaret’ suçundan 4 yıl, sonradan ortaya çıkan mağdur N.Ç.’ye yönelik ’Cinsel saldırı ile hakaret’ suçlarından 14.5 yıl olmak üzere toplam 18.5 yıl hapis cezası istendi. Davut K.’nin ifadesinde, Ebru Tireli’ye yönelik saldırıyı kabul ettiği, ancak diğer suçlamaları reddettiği belirtildi. Tireli’yeyönelik saldırıdan sonra 3 gün tutuklu kalan, suçsuz olduğu ortaya çıkınca salıverilen Mehmet T. hakkında ise takipsizlik verildi.",31.12.2016
8,http://www.hurriyet.com.tr/gundem/100-saatte-18-madde-40322654,100 saatte 18 madde,"Cumhurbaşkanına ‘devlet başkanı sıfatıyla’ yeni yetkiler veren ve devleti yeniden yapılandıran anayasa değişiklik teklifi, ilk durağı olan TBMM Anayasa Komisyonu’ndan geçti. 9 gün süren ve 100 saati bulan toplantılarda 1437 sayfa tutanak tutuldu. Komisyona 21 madde halinde gelen teklif, 18 madde olarak çıktı.  Meclis’te  iki tur halinde yapılacak görüşmelerin ardından ikinci turda 330 oyun bulunması halinde teklif referanduma sunulacak. ",30.12.2016
9,http://www.hurriyet.com.tr/gundem/3-ay-once-esi-vurmustu-beyin-kanamasi-gecirdi-40322242,3 ay önce eşi vurmuştu... Beyin kanaması geçirdi,"Zonguldak&nbsp;Genel Maden İşçileri Sendikası (GMİS) Genel Sekreteri 51 yaşındaki Hakkı Arslan, beyin kanaması geçirdi. Hastanede tedaviye alınan ve beyin ölümü gerçekleşen Hakkı Arslan, cinsel ve fiziksel şiddet uyguladığı ileri sürülen eşi tarafından geçen 1 Eylül’de tabanca ile vurularak yaralanmıştı.",30.12.2016
