,url,title,abstract,date
0,http://www.hurriyet.com.tr/gundem/kiz-bulacagim-dedi-oldurup-cope-atti-40322623,'Kız bulacağım' dedi öldürüp çöpe attı,"Bursa’da 9 aydır aranan Hüseyin Altı’yı, arkadaşının öldürdüğü ve cesedini 5 parçaya ayırıp çöpe attığı ortaya çıktı. “Kız bulacağım” diyerek parasını aldığını arkadaşını tartışmada öldürdüğünü söyleyen Akif Tamtürk tutuklandı.",30.12.2016
1,http://www.hurriyet.com.tr/gundem/kaderin-katil-zanlisinin-savunmasi-cileden-cikartti-40322479,Kader'in katil zanlısının savunması çileden çıkarttı!,"Eskişehir'de ormanlık alana götürdüğü 17 yaşındaki Kader Kaya'yı boğarak öldürmekten ağırlaştırılmış müebbet hapis cezasıyla yargılanan 30 yaşındaki Metin Yılmaz hakim karşısına çıktı. Zanlının 'Şort giyiyordu. Bana ilişki teklif etti, erkekliğime laf etti' savunması isyan ettirdi. Anne sinir krizi geçirirken Kadın Cinayetlerini Durduracağız Platformu adına yapılan açıklamada ""Sanık indirim alabilmek için öldürdüğü Kader'e iftira atmaktadır"" denildi. ",30.12.2016
2,http://www.hurriyet.com.tr/gundem/bir-annenin-en-aci-istegi-bir-kursun-da-bana-sikin-40322424,Bir annenin en acı isteği... 'Bir kurşun da bana sıkın',"Eskişehir'de 17 yaşındaki Kader Kaya'ya tecavüz ettikten sonra öldürdüğü ileri sürülen sanığın yargılanmasına başlandı. Duruşma sonrasında sanığa saldıran anne mahkeme heyetine dönerek, ""Bir kurşun bana sıkın. Bu acıya dayanamıyorum"" dedi.&nbsp;",30.12.2016
3,http://www.hurriyet.com.tr/gundem/istanbuldaki-vahsi-cinayet-3-yil-sonra-ortaya-cikti-40322404,İstanbul’daki vahşi cinayet 3 yıl sonra ortaya çıktı,İstanbul’da 3 yıl önce esrarengiz bir şekilde ortadan kaybolan Hakan Öner (43)’ün yasak aşk yüzünden vahşi bir cinayete kurban gittiği belirlendi. Baltayla başına vurularak öldürülen daha sonra bir kanepenin içinde başka bir eve taşınan Hakan Öner’in cesedinin parçalanarak torbalar içinde ormanlık alana atıldığı öğrenildi.,30.12.2016
4,http://www.hurriyet.com.tr/gundem/korkunc-cinayet-aylar-sonra-cozuldu-katilden-kan-donduran-ifadeler-40321990,Korkunç cinayet aylar sonra çözüldü! Katilden kan donduran ifadeler,"Bursa'da gözaltına alınan zanlı, yaklaşık 9 ay önce evlenmek için kız bulma vaadiyle kandırdığı arkadaşını öldürerek cesedini parçalara ayırdığını ve parçaların bir kısmını yolcu minibüsüyle taşıyarak çevredeki çöp konteynerlerine attığını itiraf etti.",30.12.2016
5,http://www.hurriyet.com.tr/gundem/zelihanin-hayatinin-bedeli-20-bin-lira-40321497,Zeliha'nın hayatının bedeli 20 bin lira,"Suriyeli minik Zeliha, ‘Karıma niye baktın?’ kavgasında çekilen silahtan çıkan kurşuna kurban gitti. Zeliha’nın babası ise 20 bin lira karşılığında şikâyetinden vazgeçti. ",29.12.2016
6,http://www.hurriyet.com.tr/gundem/yaya-korna-calan-soforu-bacaklarindan-vurdu-40320751,"Yaya, korna çalan şoförü bacaklarından vurdu","BURSA’da, yolun karşısına geçmek isteyen yaya kendisine, hızlı geçmesi için el hareketi yapan ve korna çalan servis şoförü 29 yaşındaki Erbil E.’ye silahla 2 el ateş ederek bacaklarından yaraladı. Polis, güvenlik kameralarına yansıyan ve sırtında çanta bulunan şüpheliyi her yerde arıyor.",29.12.2016
7,http://www.hurriyet.com.tr/gundem/istanbulda-sok-saldiri-insanlarin-uzerine-ates-actilar-40320541,İstanbul'da şok saldırı! İnsanların üzerine ateş açtılar,Küçükçekmece Atatürk Caddesi'nde akşam saatlerinde kimliği belirsiz kişi yada kişilerin bulunduğu seyir halindeki araçtan cadde üzerinde bulunan vatandaşlara ardından da bir tekel bayisine ateş açıldı. Cadde üzerinde açılan ateş sonucu ağır yaralanan F. D. (21) isimli genç hastanede hayatını kaybetti. Tekel bayisine açılan ateşte ise bir kişi hafif şekilde yaralandı.,29.12.2016
8,http://www.hurriyet.com.tr/gundem/esine-sarkintilik-yapan-arkadasini-oldurdu-40320066,Eşine sarkıntılık yapan arkadaşını öldürdü,"Muğla'da yaşayan R.Ö., eşine sarkıntılık yaptığını öne sürdüğü arkadaşı Uğur Kızıltaş'ı pompalı tüfekle göğsünden vurarak öldürdü.",28.12.2016
9,http://www.hurriyet.com.tr/gundem/uzman-cavusu-yaralayan-cinayet-zanlisi-araniyor-40319694,Uzman çavuşu yaralayan cinayet zanlısı aranıyor,Antalya'da kendisini gözaltına almak isteyen jandarma ekibine tabancayla ateş açarak uzman çavuş Hakan S.’yi sağ ayağından yaralayıp kaçan cinayet zanlısı 46 yaşındaki Ali Uçaner’in yakalanması için çalışmalar sürüyor.,28.12.2016
